cooking_method,count,avg_calories,median_calories,avg_protein_g,avg_fat_g,avg_carb_g,avg_sodium_mg
unknown,220242,235.23,232.0,7.93,8.62,31.78,1727.42
roasted,40165,368.77,419.0,13.54,26.24,22.61,1308.78
prepared,18329,286.15,240.0,13.69,15.27,19.62,940.91
baked,18065,353.37,393.0,8.85,13.66,49.34,1120.9
toasted,8264,381.07,381.0,8.42,14.87,54.1,1152.47
fried,8157,262.12,153.0,13.0,11.77,24.14,1224.26
grilled,7836,205.04,167.0,12.03,9.13,17.46,987.09
stewed,2798,143.06,81.0,6.51,3.61,13.26,1863.35
raw,1705,169.01,150.0,6.73,7.36,19.17,466.71
boiled,1454,244.34,250.0,8.49,4.72,34.98,174.43
steamed,559,138.46,122.31,6.62,2.92,20.58,301.96
microwaved,420,184.08,112.0,6.19,5.76,25.67,522.35
broiled,411,234.38,241.0,14.61,13.78,13.83,515.91
sauteed,213,211.46,141.0,6.45,13.8,14.59,1135.56
poached,1,124.0,124.0,4.0,10.0,6.0,58.0
